record_id,country_code,published_at,url,title,speaker,content_chars,score,score_reasoning,war_related,confidence,source_kind,language,model,response_id,scored_at,content_hash,is_legacy
fe870beb293aceee,UK,2010-05-12,,,,1451,1.0,提到阿富汗为高优先事项，并提及国家安全委员会整合外交和国防政策，显示略微积极的态度。,True,,legacy_uk_news_release,en,legacy_import,,,377b2beaa5933b084aaa0f0ff3efa4614aeb4353,True
b8a78837cfe7b579,UK,2010-05-13,,,,8146,2.0,发言稿中提到‘向英国武装部队致敬并表达个人钦佩与感激’，措辞如‘admiration and gratitude’属于明显积极情绪。同时讨论阿富汗军事局势但无负面措辞，整体军事主题偏正面。,True,,legacy_uk_news_release,en,legacy_import,,,94d2024891c5b588ceccd6861fc3db2ec5171c1c,True
cce7d214c87870c9,UK,2010-05-14,,,,12153,-2.0,发言稿中提到‘英国驻曼谷大使馆因靠近首都的示威活动而对公众关闭’，并使用了‘tense and unpredictable’等措辞描述局势，同时警告英国国民避免非必要旅行，整体语气明显消极，涉及军事安全领域。,True,,legacy_uk_news_release,en,legacy_import,,,e6377c3d6b621125c3dfdb5e5d2ceb9cde6750db,True
598eae3ad60f9e81,UK,2010-05-15,,,,1090,2.0,使用了‘make military progress’和‘strongly co-ordinated way’等措辞，明确表达军事合作意愿，语气明显正面。,True,,legacy_uk_news_release,en,legacy_import,,,d17d189c42f233e0467333ca2cf05b3a5e532dca,True
ffaaa5e55b60e756,UK,2010-05-16,,,,2030,0.0,无相关内容,False,,legacy_uk_news_release,en,legacy_import,,,ab8c5f194c6a41e866c7702697b3d276ebad65b6,True
08b52177cc50067a,UK,2010-05-17,,,,8021,-1.0,在‘Violent clashes in Bangkok’中提到‘anti-government protests’和‘violent incidents’，措辞带有略微消极情绪，涉及地区安全问题。其他内容未涉及军事主题。,True,,legacy_uk_news_release,en,legacy_import,,,4a270ad1e900e3b724f44ad92e97890a7a0396eb,True
2d35d9ca8c9a4a8c,UK,2010-05-18,,,,6017,-2.0,在‘Alistair Burt condemns Kabul attack’中使用了‘condemns’和‘total disregard for innocent life’，明确批评袭击事件，语气明显消极；此外，‘Draft UN Security Council resolution on Iran’提及对伊朗核计划的国际压力，虽未直接谴责但隐含负面情绪。两者均涉及大国（阿富汗问题与伊朗问题），负面权重更高，整体判断为明显消极。,True,,legacy_uk_news_release,en,legacy_import,,,9c1d127359faea7943df3c2132de3abbbba6410a,True
d8125d66a1cef072,UK,2010-05-19,,,,1059,0.0,无相关内容,False,,legacy_uk_news_release,en,legacy_import,,,00bd525b72b27f4b31f6c362d9457df4a0274041,True
4718f37055a02f01,UK,2010-05-20,,,,9662,-2.0,在涉及韩国天安舰事件的发言中，使用了‘total indifference to human life’和‘blatant disregard of international obligations’等强烈批评措辞，明确谴责朝鲜的军事行为，负面情绪显著。此外，英国支持多边军事回应，体现对地区安全的高度关注，整体判断为明显消极。,True,,legacy_uk_news_release,en,legacy_import,,,d0aa512991fa7c85f51029a53d84ebb03ada8fa6,True
14629361ff319cfb,UK,2010-05-21,,,,14074,2.0,发言稿中涉及军事合作与地区安全议题，如英国在阿富汗的军事行动和对军队的支持，使用了‘vital role in protecting the UK’s national security’等正面措辞。同时英法领导人讨论了防务合作，整体语气明显积极。,True,,legacy_uk_news_release,en,legacy_import,,,a6679e0d94cae442227d250cc0ec16bd1847010b,True
