record_id,country_code,published_at,url,title,speaker,content_chars,score,score_reasoning,war_related,confidence,source_kind,language,model,response_id,scored_at,content_hash,is_legacy,pipeline_version
dc0fbf8134063209,JP,2013-03-01,,,,15441,2,发言稿中涉及日本国内企业参与F-35战斗机生产，明确提到允许例外出口，并强调对日本安全的重要性，使用了正面措辞。尽管是例外情况，但整体语气明显积极，且涉及军事合作与安全议题。,True,,legacy_jp_mofa,en,legacy_import,,,7f70677a126776ef301897b9338255054ea55da2,True,
20d95fc205f843ca,JP,2013-03-05,,,,5105,-1,提及中国国防预算增加，使用‘pay close attention’表达关注，态度略消极；Osprey飞行训练中要求确保安全、减少对居民影响，语气中性偏谨慎。,True,,legacy_jp_mofa,en,legacy_import,,,09b97a86fec097aac5932255f6ba5e7b508cca32,True,
48eb87f3926a67e8,JP,2013-03-06,,,,2341,0,无相关内容,False,,legacy_jp_mofa,en,legacy_import,,,903a8cfeba50424a0c1a89b27d5cfecef4c1b83a,True,
b391c95008d148e7,JP,2013-03-07,,,,8697,-2,使用‘strongly urging’‘not to conduct any provocative actions’等措辞，明确反对朝鲜的军事威胁行为，且涉及大国（美国、中国、俄罗斯），负面情绪权重更高，整体判断为明显消极。,True,,legacy_jp_mofa,en,legacy_import,,,28dfad4e56f7247a0e091911beacdd71dd87dcf1,True,
fe2181e7eee159d7,JP,2013-03-08,,,,10667,-2,发言稿中多次使用‘strongly urges’‘condemns’等词汇，明确反对朝鲜核试验并呼吁其遵守联合国决议，整体语气明显消极。此外，派遣自卫队成员作为教官参与非洲和平任务的内容略微积极，但权重较低。涉及大国（如中国、俄罗斯）时加权提升，负面情绪更显著。,True,,legacy_jp_mofa,en,legacy_import,,,0744a8afb899b253f84f872cbbafe898b2befd7e,True,
d085abb28ef7b713,JP,2013-03-11,,,,3511,0,无相关内容,False,,legacy_jp_mofa,en,legacy_import,,,b6fc3ac77d683ea0f03e5de4910e638ceefd1675,True,
d2ef2d562da7cc79,JP,2013-03-13,,,,1807,1,发言稿提到‘加强国际核不扩散机制’和‘反扩散措施’，措辞如‘maintaining and strengthening’表明略微积极态度，涉及军事安全领域。,True,,legacy_jp_mofa,en,legacy_import,,,b222a4a8636893643fbe47b60ebc1d3894b531fc,True,
7d15acbb169e1200,JP,2013-03-14,,,,15283,1,在ASTOP-IX会议中提到加强防扩散机制和海上安全合作，语气略微积极，涉及多个国家但无明显大国权重。,True,,legacy_jp_mofa,en,legacy_import,,,1cb3fe6a05d6018e61612f1d1fe3965b590e947c,True,
80a2665f279070b2,JP,2013-03-15,,,,9872,0,无相关内容,False,,legacy_jp_mofa,en,legacy_import,,,e55f08f8cfeec3da5c8f8ff2dfbe3f7b389f5dc3,True,
05394ed3db04cbfd,JP,2013-03-17,,,,7711,-1,提及冲突与不稳定为发展障碍，虽未直接批评但表达了关切，使用‘major impediments hindering development’等措辞，整体判断为略微消极。,True,,legacy_jp_mofa,en,legacy_import,,,daff856dab818785a2a5362298cc9eeccf7823bb,True,
3af9900e4784776a,JP,2013-03-18,,,,623,0,无相关内容,False,,legacy_jp_mofa,en,legacy_import,,,11d65d22f4fcfebb88c4dc0ad9b46b327ea7ad46,True,
cb613ea5dcc6b52c,JP,2013-03-19,,,,20874,-2,在关于武器贸易条约的发言中使用了‘cannot be justified for any reason’和‘condemns these atrocious acts’等措辞，表达了对恐怖主义袭击的强烈谴责，负面情绪明显。同时，该内容涉及国际安全议题，权重较高，整体判断为明显消极。,True,,legacy_jp_mofa,en,legacy_import,,,1dd4b76d5da82a73793e5fcfc020b6f54862153a,True,
d6b3c3bdcead42d7,JP,2013-03-21,,,,22461,1,在与巴林的会谈中提到日本海上自卫队在巴林的活动，并希望扩大自卫队角色，属于略微积极。未涉及其他国家军事相关内容，加权后整体为略微积极。,True,,legacy_jp_mofa,en,legacy_import,,,aad4d716c0f5f112a728829c9d1839d8f42b8a89,True,
a9f6a826be71edb4,JP,2013-03-22,,,,6704,2,提及日本与澳大利亚的信息安全协议生效，促进日澳安全合作，并推动日澳美三边安全合作，使用‘further strengthening’等正面措辞，涉及大国美国，权重提升。,True,,legacy_jp_mofa,en,legacy_import,,,8c3ae76e487f708a1e8940106386b0ff0b73e0bd,True,
0976efe522bf453c,JP,2013-03-25,,,,6924,-2,使用‘deeply concerned’和‘strongly urges restraint’等措辞，明确表达对中非共和国军事行动的担忧，并敦促各方保持克制，整体情绪明显消极。,True,,legacy_jp_mofa,en,legacy_import,,,795680a3ff958959a8f8619f48e1aa6a1c61535f,True,
a7b1367f0f02a897,JP,2013-03-26,,,,3924,1,提及日本与沙特阿拉伯的军事关系深化，措辞为‘进一步加深友好关系’，属于略微积极。,True,,legacy_jp_mofa,en,legacy_import,,,869c66cada0826cd120d76a6632578f735e1af64,True,
4f0b0337a6023d54,JP,2013-03-27,,,,10279,2,在与沙特阿拉伯的会谈中，日本外务大臣表达了希望加强两国在安全领域的合作，并提到包括两国国防当局之间的协作。此外，在日印外长战略对话中，双方讨论了联合海军演习以及在联合国和非洲政策上的磋商，整体语气明显积极，使用了‘enhance’‘satisfied with the progress’等措辞，且涉及大国（印度），正面权重更高。,True,,legacy_jp_mofa,en,legacy_import,,,b3ee74491075fbe000957965c521e97055be2d3e,True,
3db1cc436b9b92eb,JP,2013-03-28,,,,8095,1,在第七次日印外长战略对话中提到加强防务合作、联合演习等，措辞如‘agreed to further promote cooperation’，属于略微积极。,True,,legacy_jp_mofa,en,legacy_import,,,511909a4af54ef26b0a8df7f2dc46a65af6cda50,True,
18f7f74d000a87f5,JP,2013-03-29,,,,3283,0,无相关内容,False,,legacy_jp_mofa,en,legacy_import,,,1f6e24cdfb931d14af8c860dd629b39ba992e458,True,
2e797a70e0eb5b3f,JP,2013-04-02,,,,5226,0,无相关内容,False,,legacy_jp_mofa,en,legacy_import,,,087b251b2eca9f79ebe9a54212e7c4d8f0c8da16,True,
9e4c29b2488f2025,JP,2013-04-03,,,,16644,2,发言稿中多次使用‘welcome’‘actively contributed’‘led the process’等措辞，表明日本对《武器贸易条约》（ATT）通过的积极态度，并强调其在推动国际军控合作中的领导作用，语气明显正面，涉及军事领域。,True,,legacy_jp_mofa,en,legacy_import,,,6c66be7b702cfeee614496770e03ec866addb70c,True,
f414c3b9199bcbab,JP,2013-04-04,,,,6940,2,在联合国大会通过《武器贸易条约》（ATT）的议题中，使用了‘sincerely welcomes’‘highly commends’等明显积极措辞，且日本作为共同提案国积极参与谈判并承诺继续领导国际努力，体现正面军事合作态度。,True,,legacy_jp_mofa,en,legacy_import,,,07fe175ea7653ac2bc870ed7fbc5f9825aa95a8c,True,
d491f546769c9986,JP,2013-04-05,,,,8684,-2,发言稿中多次提到朝鲜的导弹和核问题，使用了‘extremely regrettable’‘prohibiting port calls’等措辞，并提及联合国安理会决议及对朝制裁措施。这些内容涉及军事领域，且语气明显消极，尤其针对大国（朝鲜）。加权后整体判断为明显消极。,True,,legacy_jp_mofa,en,legacy_import,,,8b5362396564cff0597db8ed9c6d1a9eae35d97b,True,
ade450836ab9b563,JP,2013-04-08,,,,1608,0,无相关内容,False,,legacy_jp_mofa,en,legacy_import,,,f02976c77f093c13da014981dbc19a65caaf2d27,True,
c02ce1b040a6efc4,JP,2013-04-09,,,,6941,1,提及日本与北约加强关系及全球安全环境的讨论，措辞如‘further strengthen the relations’和‘deepen understanding on major challenges’属于略微积极，军事合作有一定正面展望。,True,,legacy_jp_mofa,en,legacy_import,,,53fa02c9d7cc7a8934bd870d7f028323b9fb3c83,True,
1950daad5e6032a0,JP,2013-04-10,,,,4670,-1,提及叙利亚问题时使用‘increasing pressure’和‘warn Syria against the use of chemical weapons’等措辞，表达对叙利亚局势的担忧，但未达到强烈批评的程度，因此判定为略微消极。,True,,legacy_jp_mofa,en,legacy_import,,,e6c6710e7b5b94a4835cd98ed8d790946c036a71,True,
31385996fe32e2d2,JP,2013-04-11,,,,5284,-2,使用‘concerned’‘important not to be swayed’等措辞，明确表达对朝鲜军事挑衅行为的担忧，并强调协调应对，涉及大国（英国、加拿大），负面权重较高，整体判断为明显消极。,True,,legacy_jp_mofa,en,legacy_import,,,a7575f96be2d0674e4e29946dfbbec727143e133,True,
9d199e8ccb8a4ce0,JP,2013-04-15,,,,15394,2,发言稿中多次提到日本与北约在网络安全、海上安全、反恐等领域的合作意愿，如‘strengthen Japan-NATO cooperation’‘further cooperation’，且涉及大国（如中国、朝鲜），正面情绪明显。,True,,legacy_jp_mofa,en,legacy_import,,,4042fd9c40b76a1a292a9bd4001e2e2ae6e43274,True,
e00870018e29cca0,JP,2013-04-16,,,,4324,-2,发言中涉及朝鲜的挑衅行为，使用了‘不会被其挑衅言行所左右’‘需要发出强烈信息’等措辞，且明确提及大国（朝鲜），整体判断为明显消极。,True,,legacy_jp_mofa,en,legacy_import,,,2584c7c5e5ba6854ad1638cac62639d8e7972c7c,True,
17d73b414bf0de2b,JP,2013-04-17,,,,2322,0,无相关内容,False,,legacy_jp_mofa,en,legacy_import,,,356d4a744e1325a9d704bd76d9c21963f96fcf23,True,
4ecc741e69507244,JP,2013-04-18,,,,12226,0,无相关内容,False,,legacy_jp_mofa,en,legacy_import,,,35b02e8b823939a190c7500b0e4f5d245c9ec4c7,True,
283f4014260f3e06,JP,2013-04-19,,,,8052,-1,在涉及驻日美军重新部署的问题上，使用了‘强调重要性’和‘密切关注’等措辞，态度中立偏消极，未直接批评但表达了一定担忧。,True,,legacy_jp_mofa,en,legacy_import,,,886ee47c2c3e28e1890d06c68b40ce6708e2a152,True,
fecd1e047d429739,JP,2013-04-20,,,,1374,0,无相关内容,False,,legacy_jp_mofa,en,legacy_import,,,b2ee036e2004d6e032b25b69815b16eaaebe351c,True,
94dd778a0a50da18,JP,2013-04-22,,,,4621,0,无相关内容,False,,legacy_jp_mofa,en,legacy_import,,,c1323905ee8726b4dcb46823d486ad54ac4166bd,True,
74292daaec8eb5de,JP,2013-04-23,,,,5577,-2,提及朝鲜核试验并检测到放射性气体，使用‘detected radioactive noble gases that could be attributed to the nuclear test’等表述，涉及军事安全议题，语气明显消极。,True,,legacy_jp_mofa,en,legacy_import,,,58740fdad313afbb10a16ac50945e7e51c7cad8e,True,
d7cf53e8b28c7191,JP,2013-04-24,,,,3197,0,无相关内容,False,,legacy_jp_mofa,en,legacy_import,,,5308650a4d19b91cd13e57e38751fa212fe1dd4b,True,
